symbol,daily_return
EVHC,0.0025065545394089557
NFLX,0.002228320267180604
REGN,0.001928868541393508
URI,0.0017955888614390337
AAL,0.0017635351341207983
ULTA,0.0017613540594412118
FB,0.0016371471688388503
ALK,0.0015327427023873591
AVGO,0.001520030083351162
STZ,0.0014597980516472767
HPE,0.0013779426063674643
UAL,0.0013654746151619916
CHTR,0.0013439227461476146
MNST,0.001326910608236435
TSO,0.0013179711917915662
NVDA,0.0012941628347601908
SWKS,0.0012876875541742022
PCLN,0.0012817859308995021
AYI,0.0012628229259381378
CNC,0.001228802733568767
